timestamp,temperature_salon,humidity_salon,air_salon,temperature_chambre,humidity_chambre,air_chambre,temperature_bureau,humidity_bureau,air_bureau,temperature_exterieur,humidity_exterieur,air_exterieur
2023-08-20 02:15:00,27.98125,63.86875,2043.0,30.0625,56.3,0.0,28.625,60.712500000000006,0.0,23.730625,79.5625,0.0
2023-08-20 02:30:00,27.9125,63.9125,2062.0,30.00625,56.40625,0.0,28.59375,60.65,0.0,23.586875,79.875,0.0
2023-08-20 02:45:00,27.85,63.91875,2043.0,29.95,56.5125,0.0,28.5625,60.55,0.0,23.445,80.1875,0.0
2023-08-20 03:00:00,27.79375,63.93125,2009.0,29.8875,56.6,0.0,28.5375,60.46875,0.0,23.29625,80.5,0.0
2023-08-20 03:15:00,27.725,64.0125,2031.0,29.83125,56.6875,0.0,28.5125,60.425,0.0,23.11875,81.4375,0.0
2023-08-20 03:30:00,27.671875,64.16875,2036.0,29.775,56.775,0.0,28.481250000000003,60.4375,0.0,22.944375,82.375,0.0
2023-08-20 03:45:00,27.621875,64.35000000000001,2041.0,29.71875,56.8875,0.0,28.45625,60.49375,0.0,22.79125,82.6875,0.0
2023-08-20 04:00:00,27.584375,64.56875,2017.0,29.66875,56.98125,0.0,28.43125,60.60625,0.0,22.6425,83.0,0.0
2023-08-20 04:15:00,27.540625,64.78125,2027.0,29.63125,57.09375,0.0,28.40625,60.725,0.0,22.490625,83.3125,0.0
2023-08-20 04:30:00,27.496875,64.9875,2007.0,29.6,57.23125,0.0,28.3875,60.825,0.0,22.354375,83.625,0.0
2023-08-20 04:45:00,27.446875,65.225,2032.0,29.56875,57.35625,0.0,28.3625,60.93125,0.0,22.2275,83.9375,0.0
2023-08-20 05:00:00,27.390625,65.475,2000.0,29.54375,57.475,0.0,28.3375,61.0625,0.0,22.09375,84.25,0.0
2023-08-20 05:15:00,27.340625000000003,65.65,2045.0,29.51875,57.59375,0.0,28.3125,61.16875,0.0,21.97,84.5625,0.0
2023-08-20 05:30:00,27.296875,65.8125,2000.0,29.49375,57.6875,0.0,28.2875,61.2625,0.0,21.844375,84.875,0.0
2023-08-20 05:45:00,27.259375,65.975,1969.0,29.46875,57.78125,0.0,28.262500000000003,61.35,0.0,21.71875,85.1875,0.0
2023-08-20 06:00:00,27.228125,66.14375,2015.0,29.44375,57.8625,0.0,28.2375,61.4375,0.0,21.591875,85.5,0.0
